Place,Payout,Field Size,Entry Fee
1,7500,16646,5
2,4000,16646,5
3,2000,16646,5
4,1000,16646,5
5,700,16646,5
6,500,16646,5
7-8,350,16646,5
9-10,250,16646,5
11-15,150,16646,5
16-20,100,16646,5
21-30,80,16646,5
31-40,70,16646,5
41-65,60,16646,5
66-100,50,16646,5
101-150,40,16646,5
151-250,30,16646,5
251-400,25,16646,5
401-700,20,16646,5
701-1250,15,16646,5
1251-2300,10,16646,5
2301-4000,8,16646,5
